Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Milan Škriniar,DF,sk SVK,28.0,24,1629,0,0,0,0.0,0.0,0.2,0.1,fr Ligue 1,Paris S-G
Mile Svilar,GK,rs SRB,23.0,15,1350,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Roma
Milos Kerkez,DF,hu HUN,19.0,28,1970,0,1,1,0.0,0.05,1.2,0.8,eng Premier League,Bournemouth
Miloš Pantović,MF,rs SRB,27.0,1,15,1,0,1,6.0,0.0,0.8,0.0,de Bundesliga,Union Berlin
Miloš Veljković,DF,rs SRB,27.0,23,1920,2,1,3,0.09,0.05,1.7,0.8,de Bundesliga,Werder Bremen
Milutin Osmajić,MF,me MNE,24.0,1,5,0,0,0,0.0,0.0,0.1,0.0,es La Liga,Cádiz
Mirko Marić,FW,hr CRO,28.0,10,287,1,0,1,0.31,0.0,0.9,0.5,it Serie A,Monza
Mitchel Bakker,DF,nl NED,23.0,14,382,1,0,1,0.24,0.0,0.2,0.1,it Serie A,Atalanta
Mitchell Weiser,"DF,MF",de GER,29.0,30,2636,3,7,10,0.1,0.24,3.8,4.2,de Bundesliga,Werder Bremen
Modibo Sagnan,DF,ml MLI,24.0,13,1054,2,0,2,0.17,0.0,1.2,0.3,fr Ligue 1,Montpellier
Mohamed Ali Cho,FW,fr FRA,19.0,17,861,1,2,3,0.1,0.21,1.1,2.0,fr Ligue 1,Nice
Mohamed Ali Cho,"FW,MF",fr FRA,19.0,11,249,0,0,0,0.0,0.0,0.4,0.1,es La Liga,Real Sociedad
Mohamed Bamba,FW,ci CIV,21.0,16,1138,8,3,11,0.63,0.24,6.4,2.1,fr Ligue 1,Lorient
Mohamed Bechikh,"FW,MF",fr FRA,18.0,2,14,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Strasbourg
Mohamed Bouchenna,"MF,FW",fr FRA,17.0,2,29,0,0,0,0.0,0.0,0.1,0.2,fr Ligue 1,Clermont Foot
Mohamed Camara,MF,ml MLI,23.0,20,1035,1,2,3,0.09,0.17,1.5,0.6,fr Ligue 1,Monaco
Mohamed El Arouch,FW,fr FRA,19.0,1,2,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lyon
Mohamed Elneny,MF,eg EGY,31.0,3,28,0,0,0,0.0,0.0,0.1,0.0,eng Premier League,Arsenal
Mohamed Kaba,MF,fr FRA,21.0,23,1378,0,0,0,0.0,0.0,1.2,0.9,it Serie A,Lecce
Mohamed Lamine Bayo,FW,gn GUI,25.0,22,1389,5,1,6,0.32,0.06,7.2,0.6,fr Ligue 1,Le Havre
Mohamed Salah,FW,eg EGY,31.0,32,2534,18,10,28,0.64,0.36,21.2,11.8,eng Premier League,Liverpool
